,Unnamed: 0,WP,CARVALHO,CHAMPION,HENNING,McAULIFFE,ROLLINS,OTHERS,VOTES_CAST,BLANKS,BALLOTS_CAST,TOTAL,Ward,Registered Voters,Unnamed: 0.1,Precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,White plurality (Y/N),Black plurality (Y/N),Hispanic plurality (Y/N),Asian plurality (Y/N),Turnout,Rollins Percentage
0,0,0101,49,17,68,45,138,1,318,35,353,318,101,1534,1,101,1717,1369,55,7,49,4,173,60,1717,1074,38,503,3,45,0,27,27,3.203261503,0.4076878276,2.853814793,0.2329644729,10.07571345,3.494467094,29.29528247,79.73209086,Y,N,N,N,0.2301173403,39.09348442
1,1,0102,46,12,27,18,66,0,169,25,194,169,102,1120,2,102,2071,1520,61,3,42,0,351,94,2071,828,40,1073,2,42,0,53,33,2.945436987,0.1448575567,2.028005794,0,16.94833414,4.538870111,51.81071946,73.39449541,Y,N,N,N,0.1732142857,34.02061856
2,2,0103,95,53,54,44,174,2,422,70,492,422,103,2617,3,103,3179,1989,278,10,228,0,494,180,3179,1275,212,1314,5,227,0,57,89,8.74488833,0.3145643284,7.172066688,0,15.53947782,5.662157911,41.33375275,62.56684492,Y,N,N,N,0.1880015285,35.36585366
3,3,0104,34,13,21,11,45,2,126,17,143,126,104,1014,4,104,1884,1097,57,12,38,1,555,124,1884,512,43,1203,6,37,0,59,24,3.025477707,0.6369426752,2.016985138,0.05307855626,29.45859873,6.581740977,63.85350318,58.22717622,N,N,Y,N,0.141025641,31.46853147
4,4,0105,40,18,50,23,67,0,198,32,230,198,105,1344,5,105,2888,1659,77,22,76,5,896,153,2888,969,47,1664,1,74,0,93,40,2.666204986,0.7617728532,2.631578947,0.1731301939,31.02493075,5.297783934,57.61772853,57.44459834,N,N,Y,N,0.1711309524,29.13043478
5,5,0106,37,21,29,22,63,0,172,29,201,172,106,1270,6,106,2507,1488,78,16,61,1,749,114,2507,807,59,1479,5,61,0,60,36,3.111288393,0.6382130036,2.433187076,0.03988831272,29.87634623,4.547267651,58.99481452,59.35380933,Y,N,N,N,0.1582677165,31.34328358
6,6,0107,42,20,20,14,64,2,162,25,187,162,107,1319,7,107,2388,1407,108,11,72,0,652,138,2388,709,76,1451,6,72,0,43,31,4.522613065,0.4606365159,3.015075377,0,27.30318258,5.778894472,60.76214405,58.91959799,N,N,Y,N,0.1417740713,34.22459893
7,7,0108,45,30,37,18,94,0,224,45,269,224,108,1866,8,108,2902,1700,119,18,191,0,723,151,2902,912,76,1669,5,188,0,8,44,4.100620262,0.6202618884,6.581667815,0,24.91385252,5.203308063,57.51206065,58.58028946,Y,N,N,N,0.1441586281,34.94423792
8,8,0109,27,28,46,19,61,1,182,25,207,182,109,1165,9,109,2086,1387,63,8,41,0,496,91,2086,734,44,1216,1,38,0,30,23,3.020134228,0.3835091083,1.96548418,0,23.77756472,4.362416107,58.29338447,66.49089166,Y,N,N,N,0.1776824034,29.46859903
9,9,0110,21,14,27,9,32,0,103,21,124,103,110,820,10,110,1862,1176,43,8,64,1,473,97,1862,552,38,1165,0,62,1,38,6,2.309344791,0.4296455424,3.437164339,0.0537056928,25.4027927,5.209452202,62.56713212,63.15789474,Y,N,N,N,0.1512195122,25.80645161
